learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,n_estimators,feature_set,target,training_time_seconds,best_iteration,mae,rmse,r2,mae_eur,rmse_eur
0.01,6,1,0.7,0.9,0.5,1.0,3500,tabular,log_price,19.74074519984424,2276,0.24953695343842033,0.4394528341043624,0.5965878146296684,73.4146040635421,603.0966154459293
0.01,6,3,0.8,0.8,0.1,1.5,1500,tabular,log_price,8.258778099901974,1499,0.2534044257391595,0.43970074070842696,0.5961325359474468,73.89562507006903,603.0304076447637
0.01,4,5,0.7,0.8,0.0,1.5,2500,tabular,log_price,15.412031000014395,2463,0.257873477429871,0.4397443800485381,0.5960523660382839,74.28842767315466,602.3569016618567
0.01,8,3,0.8,0.8,0.1,0.8,1500,tabular,log_price,16.788281300105155,1462,0.24905234201711837,0.43974683595705316,0.5960478540479135,73.39170101343261,603.238570067207
0.05,8,3,0.7,0.7,0.1,1.5,3500,tabular,log_price,3.2976191001944244,258,0.2515355278754474,0.4398730274993313,0.5958159812784848,73.62577638092351,603.150676754441
0.03,8,3,0.9,0.9,0.1,1.0,1500,tabular,log_price,7.498696000315249,616,0.249171435915117,0.4400485206589837,0.5954934078282976,73.32310288867194,603.124153308622
0.01,4,1,0.8,0.7,0.5,1.5,2500,tabular,log_price,14.575865299906582,2498,0.2560154760058108,0.44005906047289334,0.595474030532094,74.13068601977402,602.5566777228757
0.01,6,1,0.8,0.8,0.5,0.8,1500,tabular,log_price,12.034150199964643,1499,0.2521103537809326,0.44014065515174455,0.5953240041852467,73.7732989452051,603.0654309613948
0.01,6,1,0.9,0.9,0.0,0.8,1500,tabular,log_price,13.234003799967468,1499,0.2541781424813955,0.4416982217741783,0.5924548073294085,73.98259927257044,603.1746957603392
0.01,8,1,0.8,0.7,0.5,0.8,1500,tabular,log_price,17.127497799694538,1497,0.24869619458735073,0.44209784269996977,0.5917170309311416,73.32973401255491,603.4635627100882
0.01,8,3,0.9,0.7,0.5,1.0,3500,tabular,log_price,19.216386799700558,1752,0.2495937393582789,0.4421316363926308,0.5916546107373526,73.50101429662108,603.3366875409793
0.03,8,5,0.7,0.8,0.5,0.8,2500,tabular,log_price,5.645749099552631,462,0.25220191230402467,0.44335459342802547,0.5893924811264872,73.72038969990378,603.3164257314022
