learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,n_estimators,feature_set,target,training_time_seconds,best_iteration,mae,rmse,r2,mae_eur,rmse_eur
0.03,5,1,0.7,0.7,0.1,1.0,1500,tabular_spatial,log_price,7.776390400249511,1039,0.25098595461157136,0.4361293654112448,0.6026665465221646,73.52095090707896,602.6008517162409
0.03,4,5,0.8,0.8,0.1,1.5,3500,tabular_spatial,log_price,6.728478000033647,960,0.255372862367314,0.4362566140953431,0.6024346541570211,74.14693457101218,602.4327400867437
0.01,6,1,0.7,0.9,0.5,1.0,3500,tabular_spatial,log_price,19.539519499987364,2095,0.2512885086611362,0.43639081106176836,0.6021900262593013,73.63570632986018,602.7535573866018
0.01,6,3,0.8,0.8,0.1,1.5,1500,tabular_spatial,log_price,12.203938300255686,1498,0.2531343284598225,0.4365987211616119,0.601810877974057,73.89755060603632,602.789749987534
0.01,6,1,0.9,0.9,0.0,0.8,1500,tabular_spatial,log_price,14.195349699817598,1499,0.25348696476242616,0.43668954555392975,0.6016451924373696,73.92176291915268,602.7799152359689
0.01,8,3,0.8,0.8,0.1,0.8,1500,tabular_spatial,log_price,18.977639800403267,1470,0.24782627369866045,0.4369580183914316,0.6011552319069385,73.28714069513077,603.1786001046918
0.01,4,5,0.7,0.8,0.0,1.5,2500,tabular_spatial,log_price,16.501640199683607,2495,0.2564569658474936,0.4370358024988418,0.6010132203438578,74.21582002311806,602.3666987419376
0.03,6,1,0.8,0.8,0.5,1.5,1500,tabular_spatial,log_price,7.894416800234467,861,0.25110422748951483,0.43707411618794306,0.6009432611990337,73.50839859363766,602.77958548858
0.01,6,1,0.8,0.8,0.5,0.8,1500,tabular_spatial,log_price,15.383287400007248,1431,0.25297776121632104,0.4372906206052338,0.6005478182204295,73.87602764291695,602.8810055068851
0.01,8,3,0.9,0.7,0.5,1.0,3500,tabular_spatial,log_price,27.158439199905843,1880,0.24901935751710186,0.4374936716057646,0.6001767698035743,73.52242658336021,603.1234715753035
0.05,4,1,0.7,0.8,0.5,1.0,2500,tabular_spatial,log_price,5.660655000247061,691,0.25548802466309173,0.4376380754153368,0.599912786437313,74.092618790496,602.2627190828799
0.01,4,3,0.9,0.7,0.0,1.0,2500,tabular_spatial,log_price,15.756433899980038,2495,0.2568035937337593,0.437794648532365,0.5996264580236819,74.2890594852831,602.3878745861957
0.01,4,1,0.8,0.7,0.5,1.5,2500,tabular_spatial,log_price,20.614738900214434,2499,0.2556841121946212,0.4382477004130503,0.5987973759756972,74.19915349115334,602.5097472760302
0.01,8,1,0.8,0.7,0.5,0.8,1500,tabular_spatial,log_price,17.52118520019576,1281,0.2498541151172299,0.4389715707089985,0.5974709183141695,73.5397834006147,603.1752459498475
0.03,8,3,0.9,0.9,0.1,1.0,1500,tabular_spatial,log_price,9.30959039973095,646,0.2511938138455352,0.43925987631407754,0.5969420025117058,73.56477245284512,603.0137682181053
0.03,8,5,0.7,0.8,0.5,0.8,2500,tabular_spatial,log_price,9.273328199982643,621,0.24988772608528084,0.4399112037812443,0.5957458205199526,73.47015752168582,603.3015191742938
0.05,8,3,0.7,0.7,0.1,1.5,3500,tabular_spatial,log_price,4.928272800054401,369,0.2516533264883758,0.4401238412641955,0.5953549217868999,73.71263827493043,603.3825175474534
